year,month,date,mean_ndvi,area_recovering,area_early,area_bare,rainfall_mm,notes
2019,1,2019-01-15,0.28,32,28,40,45,Baseline year
2019,2,2019-02-15,0.26,30,27,43,38,Dry season
2019,3,2019-03-15,0.25,29,26,45,22,Dry season
2019,4,2019-04-15,0.24,28,25,47,12,Dry season
2019,5,2019-05-15,0.23,27,24,49,8,Dry season
2019,6,2019-06-15,0.24,28,25,47,5,Dry season
2019,7,2019-07-15,0.26,30,26,44,6,Winter growth
2019,8,2019-08-15,0.28,32,27,41,9,Winter growth
2019,9,2019-09-15,0.30,35,28,37,18,Spring growth
2019,10,2019-10-15,0.31,36,28,36,28,Spring growth
2019,11,2019-11-15,0.30,35,27,38,42,Early wet season
2019,12,2019-12-15,0.32,37,28,35,58,Wet season growth
2020,1,2020-01-15,0.33,38,28,34,62,Wet season
2020,2,2020-02-15,0.31,36,27,37,48,Wet season
2020,3,2020-03-15,0.30,35,27,38,28,End wet season
2020,4,2020-04-15,0.29,34,26,40,14,Dry season
2020,5,2020-05-15,0.28,33,26,41,7,Dry season
2020,6,2020-06-15,0.29,34,27,39,4,Dry season
2020,7,2020-07-15,0.31,36,28,36,8,Winter growth
2020,8,2020-08-15,0.33,38,28,34,11,Winter growth
2020,9,2020-09-15,0.35,40,29,31,22,Spring growth
2020,10,2020-10-15,0.36,41,29,30,32,Spring growth
2020,11,2020-11-15,0.35,40,28,32,48,Early wet season
2020,12,2020-12-15,0.37,42,29,29,65,Wet season
2021,1,2021-01-15,0.38,43,29,28,70,Wet season
2021,2,2021-02-15,0.35,40,28,32,52,Wet season
2021,3,2021-03-15,0.22,25,24,51,340,Cyclone Ellie — erosion event
2021,4,2021-04-15,0.28,33,27,40,18,Post-cyclone recovery
2021,5,2021-05-15,0.31,36,28,36,9,Recovery continuing
2021,6,2021-06-15,0.33,38,28,34,5,Recovery continuing
2021,7,2021-07-15,0.35,40,29,31,7,Winter growth
2021,8,2021-08-15,0.37,42,29,29,10,Winter growth
2021,9,2021-09-15,0.39,44,30,26,24,Spring growth
2021,10,2021-10-15,0.40,45,30,25,35,Spring growth
2021,11,2021-11-15,0.39,44,29,27,50,Early wet season
2021,12,2021-12-15,0.41,46,30,24,68,Wet season
2022,1,2022-01-15,0.42,47,30,23,72,Wet season
2022,2,2022-02-15,0.40,45,29,26,55,Wet season
2022,3,2022-03-15,0.38,43,29,28,30,End wet season
2022,4,2022-04-15,0.37,42,28,30,15,Dry season
2022,5,2022-05-15,0.36,41,28,31,8,Dry season
2022,6,2022-06-15,0.37,42,29,29,5,Dry season
2022,7,2022-07-15,0.39,44,30,26,9,Winter growth
2022,8,2022-08-15,0.41,46,30,24,12,Winter growth
2022,9,2022-09-15,0.43,48,31,21,26,Spring growth
2022,10,2022-10-15,0.44,49,31,20,36,Spring growth
2022,11,2022-11-15,0.43,48,30,22,52,Early wet season
2022,12,2022-12-15,0.45,50,31,19,70,Wet season
2023,1,2023-01-15,0.46,51,31,18,75,Wet season
2023,2,2023-02-15,0.44,49,30,21,58,Wet season
2023,3,2023-03-15,0.43,48,30,22,32,End wet season
2023,4,2023-04-15,0.42,47,29,24,16,Dry season
2023,5,2023-05-15,0.41,46,29,25,8,Dry season
2023,6,2023-06-15,0.42,47,30,23,5,Dry season
2023,7,2023-07-15,0.44,49,31,20,10,Winter growth
2023,8,2023-08-15,0.46,51,31,18,13,Winter growth
2023,9,2023-09-15,0.48,53,32,15,28,Spring growth
2023,10,2023-10-15,0.49,54,32,14,38,Spring growth
2023,11,2023-11-15,0.48,53,31,16,54,Early wet season
2023,12,2023-12-15,0.50,55,32,13,72,Wet season
2024,1,2024-01-15,0.51,56,32,12,78,Wet season
2024,2,2024-02-15,0.49,54,31,15,60,Wet season
2024,3,2024-03-15,0.48,53,31,16,34,End wet season
2024,4,2024-04-15,0.47,52,30,18,17,Dry season
2024,5,2024-05-15,0.46,51,30,19,9,Dry season
2024,6,2024-06-15,0.41,46,28,26,85,Anomaly — Zone C3 rainfall damage
2025,1,2025-01-15,0.52,57,27,16,80,Wet season
2025,2,2025-02-15,0.50,55,28,17,62,Wet season
2025,3,2025-03-15,0.49,54,28,18,35,End wet season
2025,4,2025-04-15,0.48,53,27,20,18,Dry season
2025,5,2025-05-15,0.47,52,27,21,9,Dry season
2025,6,2025-06-15,0.46,51,27,22,6,Dry season
2025,7,2025-07-15,0.48,53,28,19,10,Winter growth
2025,8,2025-08-15,0.50,55,28,17,14,Winter growth
2025,9,2025-09-15,0.52,57,29,14,29,Spring growth
2025,10,2025-10-15,0.53,58,29,13,40,Spring growth
2025,11,2025-11-15,0.52,57,28,15,56,Early wet season
2025,12,2025-12-15,0.54,59,29,12,74,Wet season
2026,6,2026-06-23,0.41,61,22,17,18,Current monitoring period
